gene,name
B9J08_000229,LEU2
B9J08_000230,SPL1_NFS1
B9J08_000231,PET8
B9J08_000232,DCC1
B9J08_000233,RPL7_RLP7
B9J08_000234,RFX1
B9J08_000235,LST8
B9J08_000236,SIS1
B9J08_000237,GUP1
B9J08_000238,HNT1
B9J08_000239,SFT2
B9J08_000240,ESC2
B9J08_000241,TFC6
B9J08_000242,UBA4
B9J08_000243,ERP5
B9J08_000244,YDL057W
B9J08_000245,ESF1
B9J08_000246,RTC5
B9J08_000247,KEI1
B9J08_000248,RIO1
B9J08_000249,B9J08_000249
B9J08_000250,RTG3
B9J08_000251,APE4
B9J08_000252,BIG1
B9J08_000253,TDA3
B9J08_000254,RPS17B
B9J08_000255,ADA2
B9J08_000256,B9J08_000256
B9J08_000257,UTP6
B9J08_000258,CTR2
B9J08_000259,RCF2
B9J08_000260,GCD6
B9J08_000261,ERG1
B9J08_000262,VCX1
B9J08_000263,PCL2
B9J08_000264,TCP1
B9J08_000265,B9J08_000265
B9J08_000266,B9J08_000266
B9J08_000267,SAY1
B9J08_000268,GCF1
B9J08_000269,CDC42
B9J08_000270,UPC2
B9J08_000271,CBP4
B9J08_000272,APS3
B9J08_000273,BNA5
B9J08_000274,ENO1
B9J08_000275,PRE5
B9J08_000276,SSQ1
B9J08_000277,B9J08_000277
B9J08_000278,TAN1
B9J08_000279,EMC4
B9J08_000280,VPS55
B9J08_000281,UME1_HAT2
B9J08_000282,SPP1
B9J08_000283,B9J08_000283
B9J08_000284,DIT1
B9J08_000285,CMK1_TDA1
B9J08_000286,MAK21
B9J08_000287,RAS2_RSR1
B9J08_000288,PKC1
B9J08_000289,SEA4
B9J08_000290,HSL1
B9J08_000291,YPK1
B9J08_000292,B9J08_000292
B9J08_000293,MRPL28
B9J08_000294,EAF6
B9J08_000295,B9J08_000295
B9J08_000296,SEC15
B9J08_000297,IRC6
B9J08_000298,DAL3
B9J08_000299,FZO1
B9J08_000300,FZO1
B9J08_000301,YMR155W
B9J08_000302,SRP14
B9J08_000303,UBX3
B9J08_000304,B9J08_000304
B9J08_000305,B9J08_000305
B9J08_000306,RAM1
B9J08_000307,PTP2
B9J08_000308,B9J08_000308
B9J08_000309,B9J08_000309
B9J08_000310,ASM4
B9J08_000311,RRP42
B9J08_000312,TRM3
B9J08_000313,HRQ2
B9J08_000314,ATG20
B9J08_000315,CSG2
B9J08_000316,B9J08_000316
B9J08_000317,KIP4_SMY1
B9J08_000318,B9J08_000318
B9J08_000319,AAH1
B9J08_000320,SER33_SER3
B9J08_000321,HGT19_HXT6
B9J08_000322,TRX1_TRX2
B9J08_000323,RPN2
B9J08_000324,LCB4
B9J08_000325,ECM21
B9J08_000326,HEM14
B9J08_000327,MSL1
B9J08_000328,MRF1
B9J08_000329,TMA17
B9J08_000330,OMS1
B9J08_000331,RPN6
B9J08_000332,NUP84
B9J08_000333,FGR16_PRP38
B9J08_000334,GVP36
B9J08_000335,ARL3
B9J08_000336,B9J08_000336
B9J08_000337,SEC66
B9J08_000338,SEC3
B9J08_000339,COX5_COX5A
B9J08_000340,SWE1
B9J08_000341,SFU1_GZF3
B9J08_000342,YMC2_YMC1
B9J08_000343,B9J08_000343
B9J08_000344,ERV1
B9J08_000345,YGL101W
B9J08_000346,RPL28
B9J08_000347,HGT18_YBR241C
B9J08_000348,ZCF11_ERT1
B9J08_000349,B9J08_000349
B9J08_000350,B9J08_000350
B9J08_000351,ARC1
B9J08_000352,TGS1
B9J08_000353,DOM34
B9J08_000354,MLC1
B9J08_000355,SMC5
B9J08_000356,MSE1
B9J08_000357,B9J08_000357
B9J08_000358,MPM1
B9J08_000359,VPS55
B9J08_000360,SYN8
B9J08_000361,B9J08_000361
B9J08_000362,YJL055W
B9J08_000363,NCE103
B9J08_000364,IRC5
B9J08_000365,SGA1
B9J08_000366,EMC5
B9J08_000367,ERG25
B9J08_000368,FLR1
B9J08_000369,B9J08_000369
B9J08_000370,ARD_SPS19
B9J08_000371,GTR2
B9J08_000372,AMA1
B9J08_000373,DIE2
B9J08_000374,SMI1B_SMI1
B9J08_000375,B9J08_000375
B9J08_000376,B9J08_000376
B9J08_000377,PTH2
B9J08_000378,DOT6
B9J08_000379,TRP2
B9J08_000380,B9J08_000380
B9J08_000381,SHP1
B9J08_000382,MET6
B9J08_000383,GSF2
B9J08_000384,PHR2_GAS1
B9J08_000385,BFA1
B9J08_000386,B9J08_000386
B9J08_000387,B9J08_000387
B9J08_000388,NDT80
B9J08_000389,B9J08_000389
B9J08_000390,LEU5
B9J08_000391,NAT2
B9J08_000392,HMA1_TCD2
B9J08_000393,TAE1
B9J08_000394,PSF3
B9J08_000395,CTR9
B9J08_000396,SPC105
B9J08_000397,PEX11
B9J08_000398,SAP9_YPS3
B9J08_000399,NOP8
B9J08_000400,ALG3
B9J08_000401,FLO8
B9J08_000402,FLO8
B9J08_000403,B9J08_000403
B9J08_000404,GLE2
B9J08_000405,GEF1
B9J08_000406,AAR2
B9J08_000407,B9J08_000407
B9J08_000408,KRE5
B9J08_000409,MET13
B9J08_000410,OXR1
B9J08_000411,DCG1
B9J08_000412,DDC1
B9J08_000413,MPC1
B9J08_000414,ZCF1
B9J08_000415,SEC59
B9J08_000416,B9J08_000416
B9J08_000417,CDC24
B9J08_000418,CFL4_FRE3
B9J08_000419,CIR2
B9J08_000420,GDS1
B9J08_000421,B9J08_000421
B9J08_000422,CLN3
B9J08_000423,OTU2
B9J08_000424,CYC3
B9J08_000425,MSC6
B9J08_000426,B9J08_000426
B9J08_000427,SHR5
B9J08_000428,PUS4
B9J08_000429,B9J08_000429
B9J08_000430,POA1
B9J08_000431,VPS1
B9J08_000432,YPK3
B9J08_000433,SPE2
B9J08_000434,PET9
B9J08_000435,DNF1
B9J08_000436,FEX1
B9J08_000437,UBC13
B9J08_000438,PGA30
B9J08_000439,B9J08_000439
B9J08_000440,AGA1
B9J08_000441,B9J08_000441
B9J08_000442,NAM7
B9J08_000443,BUD2
B9J08_000444,SEC14
B9J08_000445,IBA57
B9J08_000446,CTN3_YAT2
B9J08_000447,CRZ2_CRZ1
B9J08_000448,B9J08_000448
B9J08_000449,GAP6_GAP1
B9J08_000450,YJR124C
B9J08_000451,LEU3
B9J08_000452,DAD4
B9J08_000453,B9J08_000453
B9J08_000454,FGR32_SWA2
B9J08_000455,B9J08_000455
B9J08_000456,B9J08_000456
B9J08_000457,YMR295C
B9J08_000458,CEK1_FUS3
B9J08_000459,EMP24
B9J08_000460,AAT21_AAT2
B9J08_000461,RPS27_RPS27B
B9J08_000462,GLC7
B9J08_000463,VFA1
B9J08_000464,SRP102
B9J08_000465,ARO2
B9J08_000466,B9J08_000466
B9J08_000467,MNL1_COM2
B9J08_000468,ACE2
B9J08_000469,KGD2
B9J08_000470,B9J08_000470
B9J08_000471,B9J08_000471
B9J08_000472,B9J08_000472
B9J08_000473,FLC2
B9J08_000474,STT4
B9J08_000475,TIF6
B9J08_000476,HSP104
B9J08_000477,B9J08_000477
B9J08_000478,OFR1
B9J08_000479,CDR4_PDR15
B9J08_000480,CDC48
B9J08_000481,MCU1
B9J08_000482,ECM27
B9J08_000483,HSP70_SSA4
B9J08_000484,GCV3
B9J08_000485,SNC2
B9J08_000486,ACT1
B9J08_000487,OSM2_OSM1
B9J08_000488,RAD54
B9J08_000489,YRB30
B9J08_000490,CUP2_HAA1
B9J08_000491,CYB2
B9J08_000492,MYO2
B9J08_000493,YBL029C-A
B9J08_000494,PHO91
B9J08_000495,UBP16
B9J08_000496,FAU1
B9J08_000497,MAF1
B9J08_000498,IPP1
B9J08_000499,SPO11
B9J08_000500,RCR1
B9J08_000501,PHM7
B9J08_000502,B9J08_000502
B9J08_000503,GIT1
B9J08_000504,INP51
B9J08_000505,B9J08_000505
B9J08_000506,VMA8
B9J08_000507,SDH12_SDH1
B9J08_000508,SCY1
B9J08_000509,ASM3
B9J08_000510,ROM2
B9J08_000511,FEN12_ELO3
